MatchDate,Opposition,Ground,Runs,Mins,Balls Faced,4s,6s,Strike Rate,Batting Position,Dismissal,Inns,Match,Year
28-Jan-00,Pakistan,Perth,17,19,14,4,0,121.42,1,caught,2,236,2000
26-Jan-00,Australia,Adelaide,18,45,28,2,0,64.28,1,caught,2,235,2000
25-Jan-00,Pakistan,Adelaide,41,69,46,5,0,89.13,1,caught,1,234,2000
21-Jan-00,Pakistan,Hobart,93,157,103,10,0,90.29,1,bowled,2,233,2000
14-Jan-00,Australia,Sydney,1,13,11,0,0,9.09,2,caught,1,232,2000
12-Jan-00,Australia,Melbourne,12,25,11,2,0,109.09,4,run out,2,231,2000
10-Jan-00,Pakistan,Brisbane,13,28,26,2,0,50,4,bowled,1,230,2000
17-Nov-99,New Zealand,Delhi,0,2,3,0,0,0,4,caught,2,229,1999
14-Nov-99,New Zealand,Guwahati,2,21,10,0,0,20,2,caught,2,228,1999
11-Nov-99,New Zealand,Gwalior,1,41,23,0,0,4.34,2,caught,1,227,1999
08-Nov-99,New Zealand,Hyderabad (Deccan),186,221,150,20,3,124,2,not out,1,226,1999
05-Nov-99,New Zealand,Rajkot,32,61,31,2,1,103.22,2,caught,2,225,1999
08-Sep-99,West Indies,Singapore,0,,6,0,0,0,1,caught,1,224,1999
07-Sep-99,West Indies,Singapore,40,97,65,6,0,61.53,1,caught,1,223,1999
04-Sep-99,Zimbabwe,Singapore,85,114,72,7,3,118.05,2,caught,1,222,1999
29-Aug-99,Sri Lanka,Colombo (SSC),120,191,141,11,2,85.1,1,caught,1,221,1999
25-Aug-99,Sri Lanka,Colombo (RPS),37,105,58,1,0,63.79,2,run out,1,220,1999
23-Aug-99,Australia,Galle,14,52,33,0,0,42.42,2,caught,1,219,1999
12-Jun-99,New Zealand,Nottingham,16,26,22,2,0,72.72,1,bowled,1,218,1999
08-Jun-99,Pakistan,Manchester,45,92,65,5,0,69.23,1,caught,1,217,1999
04-Jun-99,Australia,The Oval,0,5,4,0,0,0,2,caught,2,216,1999
29-May-99,England,Birmingham,22,49,40,2,0,55,4,caught,1,215,1999
26-May-99,Sri Lanka,Taunton,2,10,3,0,0,66.66,4,bowled,1,214,1999
